id,siret,date_publi,date_disso,nom_asso,nom_asso_abrege,objet_social1,objet_social2,adresse,codepostal,commune,siteweb,autorisation_web,etat
W373000141,,1971-04-10,,CANTINE AUTONOME DES ECOLES PUBLIQUES DE LOUANS,CANTINE AUTONOME DES ECOLES PUBLIQU...,022510,000000,ECOLE PUBLIQUE       ,37320,Louans,,1,A
W373000142,49267935200020,1997-11-08,,"JEUNES, ADULTES, DECOUVERTE, OXYGENE, RENCONTRE (J.A.D.O.R.)","JEUNES, ADULTES, DECOUVERTE, OXYGEN...",007080,007080,6   RUE des Fosses Rouges  ,37310,Reignac-sur-Indre,http://www.jadorlesvoyages.com,1,A
W373000143,,1901-07-01,,ASSOCIATION DES PARENTS D'ELEVES ET DES AMIS DES ECOLES PUBLIQUES D'AZAY-SUR-INDRE - CHEDIGNY - ST- QUENTIN-SUR-INDROIS,ASSOCIATION DES PARENTS D'ELEVES E...,011105,015005,4   PL de la mairie  ,37310,Chédigny,,1,A
W373000144,,1974-01-17,,AMICALE PETANQUE DE DESCARTES,AMICALE PETANQUE DE DESCARTES,011035,007000,MAIRIE       ,37160,Descartes,,1,A
W373000145,,1989-07-05,,LES ENFANTS D'ABORD,LES ENFANTS D'ABORD,015005,000000,  PL du 8 mai 1945 ,37600,Perrusson,,1,A
W373000146,,1990-02-21,2022-03-03,GROUPE THEATRAL 'AU FIL DU REMILLON DE LA CELLE-GUENAND',GROUPE THEATRAL 'AU FIL DU REMILLO...,006070,000000,MAIRIE       ,37350,La Celle-Guenand,,1,D
W373000147,,2000-12-16,2007-05-10,ASSOCIATION DES ASSISTANTES FAMILIALES D'INDRE-ET-LOIRE,ASSOCIATION DES ASSISTANTES FAMILIALES,020000,019010,     La Sédinière,37460,Beaumont-Village,,0,D
W373000148,,2004-11-20,,ASSOCIATION DES PARENTS D ELEVES DE BOSSAY-SUR-CLAISE (A.P.E.B.),ASSOCIATION DES PARENTS D ELEVES DE...,015005,000000,MAIRIE       PLACE DE L'EGLISE,37290,Bossay-sur-Claise,,1,A
W373000149,,2006-11-18,,SYNDICAT DE CHASSE DE LA CELLE SAINT AVANT,SYNDICAT DE CHASSE DE LA CELLE SAINT A,013005,013005,MAIRIE 3   PL du 8 mai 1945  ,37160,La Celle-Saint-Avant,,0,A
W373000150,,2003-11-08,,LES BROD'RIEUSES,LES BROD'RIEUSES,006090,000000,   LA CALTIERE  ,37600,Perrusson,,1,A
W373000151,,1976-07-27,,ASSOCIATION D'AIDE A DOMICILE EN MILIEU RURAL DE MANTHELAN ET SES ENVIRONS,ASSOCIATION D'AIDE A DOMICILE EN M...,020000,019000,MAIRIE       ,37240,Manthelan,,1,A
W373000152,,1901-07-01,2013-11-26,ASSOCIATION LOCALE ADMR D'ABILLY,ASSOCIATION LOCALE ADMR D'ABILLY,020000,019000,MAIRIE       ,37160,Abilly,,1,D
W373000153,,2005-04-30,,L'ATELIER,L'ATELIER,020000,006000,5   RUEL1 de l'Isle Thimée  ,37310,Chambourg-sur-Indre,,1,A
W373000154,,,,COMITE DES FETES DU CARNAVAL,COMITE DES FETES DU CARNAVAL,009030,000000,"ATELIER DES CARNAVALIERS       17, ROUTE DE LOCHES",37240,Manthelan,,1,A
W373000155,,,,FOYER RURAL DE BRIDORE,FOYER RURAL DE BRIDORE,009035,000000,MAIRIE       ,37600,Bridoré,,1,A
W373000156,,1972-02-03,,BILLARD CLUB DE DESCARTES,BILLARD CLUB DE DESCARTES,007005,000000,18 bis   RUE Rabelais  ,37160,Descartes,,1,A
W373000157,,2001-10-27,,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE MATERNELLE DE BEAULIEU-LES-LOCHES,ASSOCIATION DES PARENTS D'ELEVES D...,015005,000000,MAIRIE       ,37600,Beaulieu-lès-Loches,,1,A
W373000158,,,,UNION MUSICALE DE LA CHAPELLE BLANCHE SAINT-MARTIN,UNION MUSICALE DE LA CHAPELLE BLANC...,009025,006030,Mairie       ,37240,La Chapelle-Blanche-Saint-Martin,,1,A
W373000159,,1952-01-21,,A.P.E.L. DU GROUPE SCOLAIRE SAINT-MARTIN-SAINT-DENIS,A.P.E.L. DU GROUPE SCOLAIRE SAINT-M...,020005,015005,19   AV du Général de Gaulle  ,37600,Loches,,1,A
W373000160,,2000-07-01,,SOCIETE ASTRONOMIQUE DE TOURAINE,SOCIETE ASTRONOMIQUE DE TOURAINE,010015,000000,OBSERVATOIRE DU LIGORET       ,37310,Tauxigny,,1,A
W373000161,,1987-12-30,,ASSOCIATION DE GYMNASTIQUE VOLONTAIRE,ASSOCIATION DE GYMNASTIQUE VOLONTAIRE,011105,000000,MAIRIE       ,37460,Genillé,,0,A
W373000162,,1982-06-13,,SOCIETE AVICOLE DE TOURAINE (S.A.T.),SOCIETE AVICOLE DE TOURAINE (S.A.T.),023020,000000,24   RUE DE LA GARE  REIGNAC-SUR-INDRE,37310,Reignac-sur-Indre,,0,A
W373000163,,1979-02-15,,ASSOCIATION SPORTIVE DU COLLEGE DE LIGUEIL,ASSOCIATION ASSOCIATION SPORTIVE DU...,011010,000000,COLLEGE MIXTE NATIONALISE       33 AVENUE DES MARTYRS,37240,Ligueil,,1,A
W373000164,,1992-04-29,,RANDO APEC CHAMBOURG 37,RANDO APEC CHAMBOURG 37.,024000,000000,   mairie  ,37310,Chambourg-sur-Indre,,1,A
W373000165,,1982-11-05,,ASSOCIATION AUTONOME DES PARENTS D'ELEVES DE GENILLE - CERE-LA-RONDE - LE LIEGE,ASSOCIATION AUTONOME DES PARENTS D'EL,015005,000000,MAIRIE       ,37460,Genillé,,1,A
W373000166,,1979-12-19,,LE COCHONNET LOCHOIS,LE COCHONNET LOCHOIS,011035,000000,MAIRIE       ,37600,Loches,,1,A
W373000167,,2003-11-29,,LES BABINEURS,LES BABINEURS,006070,000000,   LE PUY ROUJOU  ,37600,Saint-Senoch,,1,A
W373000168,,1970-12-24,,CANTINE SCOLAIRE AUTONOME DES ECOLES PUBLIQUES DE TAUXIGNY,CANTINE SCOLAIRE AUTONOME DES ECOLE...,022510,000000,   ECOLE PUBLIQUE DE TAUXIGNY  ,37310,Tauxigny,,1,A
W373000169,,2001-10-06,,RENDEZ VOUS A L'ECOLE,RENDEZ VOUS A L'ECOLE,006000,000000,MAIRIE       ,37160,Civray-sur-Esves,,0,A
W373000170,,1982-08-15,,ASSOCIATION DES PARENTS D'ELEVES SEPMES DRACHE MARCE,ASSOCIATION DES PARENTS D'ELEVES SEPM,015005,000000,MAIRIE       ,37800,Sepmes,,1,A
W373000171,,2000-04-29,,"JEAN VIMENET, SON OEUVRE","JEAN VIMENET, SON OEUVRE",006020,000000,4   PL du 18-juin  ,17260,Saint-André-de-Lidon,,0,A
W373000172,,1975-12-07,,CLUB DES BONS ENFANTS DE MANTHELAN,CLUB DES BONS ENFANTS DE MANTHELAN,019000,009040,MAIRIE       ,37240,Manthelan,,1,A
W373000173,,1987-07-15,,UNION SPORTIVE DE L'ENSEIGNEMENT DU PREMIER DEGRE DE L'ECOLE PUBLIQUE LAMBLARDIE A LOCHES,UNION SPORTIVE DE L'ENSEIGNEMENT D...,011010,000000,ECOLE PUBLIQUE LAMBLARDIE       20 RUE LAMBLARDIE,37600,Loches,,1,A
